expr,min,lq,mean,median,uq,max,neval,name,variance,sd,dist_type,n,m,d
result,101.64095,106.624395,117.6919233,112.270391,116.298697,176.472592,10,rank_distance_original,470.055197099347,21.6807563774733,gamma,100,50,100
result,54.27728,54.756786,58.5581485,58.320359,61.406065,63.766329,10,rank_distance_upgraded,15.4734265951076,3.93362766350701,gamma,100,50,100
result,98.229235,103.959536,105.954522,106.730197,108.39292,111.731314,10,rank_distance_original,17.3575800239556,4.16624291466011,jednostajny,100,50,100
result,51.879568,52.228453,55.1528538,55.0777175,57.519252,60.391379,10,rank_distance_upgraded,9.92943810916351,3.15110109472285,jednostajny,100,50,100
result,96.824146,100.174956,105.0751694,105.647195,107.802432,114.355259,10,rank_distance_original,31.8837122197294,5.6465664097511,mieszany,100,50,100
result,51.337677,52.388664,55.0488295,54.998788,56.522117,60.975895,10,rank_distance_upgraded,9.44344411218695,3.07301872955356,mieszany,100,50,100
result,97.35858,101.65905,103.7139705,103.954025,104.782401,112.70805,10,rank_distance_original,15.2825487472658,3.90929005668111,normalny,100,50,100
result,55.104473,55.309674,58.7433978,58.2493955,61.601447,65.353822,10,rank_distance_upgraded,14.5657171956155,3.81650588832449,normalny,100,50,100
result,103.094592,105.530775,115.2964729,110.247381,111.345401,180.839183,10,rank_distance_original,541.54502351486,23.2711199454358,Poisson,100,50,100
result,52.309275,52.965345,55.4805108,55.095792,57.32031,61.299357,10,rank_distance_upgraded,8.93360769241796,2.98891413266055,Poisson,100,50,100
result,95.173108,98.647899,102.3121883,103.528939,104.91012,106.443576,10,rank_distance_original,13.5998111333073,3.68779217599194,t-Student,100,50,100
result,51.738154,54.417958,57.7495794,57.8088195,61.486637,62.514691,10,rank_distance_upgraded,17.2659682810898,4.15523384192633,t-Student,100,50,100
result,90.152745,96.297096,99.4147645,99.325138,102.534774,108.5978,10,rank_distance_original,35.7387018890941,5.97818550139539,gamma,100,50,20
result,46.346387,48.18319,51.4742529,51.524523,54.202049,57.726111,10,rank_distance_upgraded,15.1301708539674,3.88975202988152,gamma,100,50,20
result,90.097941,95.686082,97.3450059,96.218787,101.150185,105.505788,10,rank_distance_original,20.5840757058199,4.53696767740523,jednostajny,100,50,20
result,47.69059,47.951657,51.4861438,51.4010975,54.307671,57.504666,10,rank_distance_upgraded,13.499972691128,3.67423089790611,jednostajny,100,50,20
result,92.468071,95.288819,97.0095933,97.013545,98.939509,101.010965,10,rank_distance_original,8.35134765678912,2.88986983388337,mieszany,100,50,20
result,46.389561,46.875514,49.7850707,49.616846,51.021985,55.003347,10,rank_distance_upgraded,9.29147150924067,3.04819151452803,mieszany,100,50,20
result,92.695848,96.6964,98.9234836,98.787113,100.908682,105.661714,10,rank_distance_original,12.1656602892792,3.4879306600446,mix,100,50,20
result,48.649454,49.279401,54.1547912,55.134823,55.995377,64.338099,10,rank_distance_upgraded,22.0173184268297,4.69226154714651,mix,100,50,20
result,92.552925,96.811121,100.0322316,101.0085635,102.506506,105.966801,10,rank_distance_original,20.1236112856943,4.48593482851616,normal,100,50,20
result,46.264933,46.351737,49.0298567,48.444879,51.012726,53.919946,10,rank_distance_upgraded,8.13793160455624,2.85270601439339,normal,100,50,20
result,89.77587,91.489794,96.6660039,97.0100705,99.638473,103.287152,10,rank_distance_original,21.3333128197006,4.61879993285058,normalny,100,50,20
result,46.879212,47.546463,50.2850796,49.689898,53.010473,55.77988,10,rank_distance_upgraded,10.4755164835396,3.23659025573822,normalny,100,50,20
