p_value,time_taken,scenario_name,Distribution_X,Distribution_Y,Dimension,size_X,size_Y,Z,Z_ratio
0.296,0.1131150722503662,10/10/20,normal,normal,20,10,10,20,100
0.536,0.1080126762390136,12/13/15,normal,normal,20,10,10,15,75
0.484,0.1088500022888183,14/14/12,normal,normal,20,10,10,12,60
0.388,0.0994963645935058,15/15/10,normal,normal,20,10,10,10,50
0.508,0.0895357131958007,16/17/7,normal,normal,20,10,10,7,37
0.612,0.081554889678955,17/18/5,normal,normal,20,10,10,5,25
0.0,0.1188244819641113,10/10/20,normal,t,20,10,10,20,100
0.0,0.1113049983978271,12/13/15,normal,t,20,10,10,15,75
0.008,0.1172766685485839,14/14/12,normal,t,20,10,10,12,60
0.0,0.115938663482666,15/15/10,normal,t,20,10,10,10,50
0.0,0.0970456600189209,16/17/7,normal,t,20,10,10,7,37
0.008,0.0894610881805419,17/18/5,normal,t,20,10,10,5,25
0.0,0.110361099243164,10/10/20,normal,gamma,20,10,10,20,100
0.0,0.1142868995666503,12/13/15,normal,gamma,20,10,10,15,75
0.0,0.1002962589263916,14/14/12,normal,gamma,20,10,10,12,60
0.0,0.1057517528533935,15/15/10,normal,gamma,20,10,10,10,50
0.0,0.0960114002227783,16/17/7,normal,gamma,20,10,10,7,37
0.0,0.0854136943817138,17/18/5,normal,gamma,20,10,10,5,25
0.0,0.1168997287750244,10/10/20,normal,uniform,20,10,10,20,100
0.0,0.1207883358001709,12/13/15,normal,uniform,20,10,10,15,75
0.0,0.1174356937408447,14/14/12,normal,uniform,20,10,10,12,60
0.0,0.1178488731384277,15/15/10,normal,uniform,20,10,10,10,50
0.0,0.1022768020629882,16/17/7,normal,uniform,20,10,10,7,37
0.0,0.0879490375518798,17/18/5,normal,uniform,20,10,10,5,25
0.364,0.1134488582611084,10/10/20,t,t,20,10,10,20,100
0.284,0.1098151206970214,12/13/15,t,t,20,10,10,15,75
0.824,0.1089804172515869,14/14/12,t,t,20,10,10,12,60
0.696,0.1103346347808837,15/15/10,t,t,20,10,10,10,50
0.94,0.087740421295166,16/17/7,t,t,20,10,10,7,37
0.752,0.0857264995574951,17/18/5,t,t,20,10,10,5,25
0.0,0.1080653667449951,10/10/20,t,gamma,20,10,10,20,100
0.0,0.1159172058105468,12/13/15,t,gamma,20,10,10,15,75
0.0,0.100907564163208,14/14/12,t,gamma,20,10,10,12,60
0.0,0.1121981143951416,15/15/10,t,gamma,20,10,10,10,50
0.0,0.0957398414611816,16/17/7,t,gamma,20,10,10,7,37
0.0,0.0975511074066162,17/18/5,t,gamma,20,10,10,5,25
0.0,0.1200795173645019,10/10/20,t,uniform,20,10,10,20,100
0.0,0.1206123828887939,12/13/15,t,uniform,20,10,10,15,75
0.0,0.1052846908569336,14/14/12,t,uniform,20,10,10,12,60
0.0,0.100696325302124,15/15/10,t,uniform,20,10,10,10,50
0.0,0.0978851318359375,16/17/7,t,uniform,20,10,10,7,37
0.0,0.0939903259277343,17/18/5,t,uniform,20,10,10,5,25
0.68,0.1179792881011962,10/10/20,gamma,gamma,20,10,10,20,100
0.708,0.1071920394897461,12/13/15,gamma,gamma,20,10,10,15,75
0.548,0.1021459102630615,14/14/12,gamma,gamma,20,10,10,12,60
0.804,0.1012618541717529,15/15/10,gamma,gamma,20,10,10,10,50
0.992,0.1005966663360595,16/17/7,gamma,gamma,20,10,10,7,37
0.764,0.0902142524719238,17/18/5,gamma,gamma,20,10,10,5,25
0.0,0.1215934753417968,10/10/20,gamma,uniform,20,10,10,20,100
0.0,0.1024858951568603,12/13/15,gamma,uniform,20,10,10,15,75
0.0,0.1093294620513916,14/14/12,gamma,uniform,20,10,10,12,60
0.0,0.1018793582916259,15/15/10,gamma,uniform,20,10,10,10,50
0.0,0.0965099334716796,16/17/7,gamma,uniform,20,10,10,7,37
0.0,0.0963504314422607,17/18/5,gamma,uniform,20,10,10,5,25
0.264,0.1176083087921142,10/10/20,uniform,uniform,20,10,10,20,100
0.504,0.1062309741973877,12/13/15,uniform,uniform,20,10,10,15,75
0.36,0.1055414676666259,14/14/12,uniform,uniform,20,10,10,12,60
